title,company,skills,Type,Duration,experience_level,salary,date_posted,city,governorate,country
electrical team leader,afniah consulting engineering,"engineering, design, leadership management, electrical engineering, development, information technology (it), sales, sales target",on-site,full time,experienced,,19 days ago,heliopolis, cairo, egypt
branch manager (pharmacist),chemi pharm ltd,"branch management, communication, customer service, management, pharmaceutical, sales, retail",on-site,full time,manager,,19 days ago,cairo,cairo, egypt
etl & bi developer (alteryx & tableau),isfp,"bi, etl, tableau",remote,part time,experienced,,19 days ago,smouha, alexandria, egypt
junior mechanical design engineer,confidential,"autocad, design, mechanical, mechanical design, mechanical engineering, solidworks, cnc, sheet metal",on-site,full time,entry level,,19 days ago,6th of october, giza, egypt
purchasing / procurement specialist (it),eservice,"procurement, purchasing, supply chain management, negotiation, vendor management, inventory control, cost analysis, contract management",on-site,full time,experienced,,19 days ago,glim, alexandria, egypt
educational designer for kindergarten required,dar al-jeel al-jadeed publishing and distribution,"educational technology, educatio, kindergartt, teaching, gam, vedio",remote,full time,experienced,,19 days ago,nasr city, cairo, egypt
international sales specialist,petrogina trading,"export sales, international business development, odoo erp, ai-driven sales strategies, international sales, logistics management, supply chain optimization, client relationship management",hybrid,full time,experienced,,19 days ago,warraq, giza, egypt
telesales agent| customer experience specialist,epsilonai,"communication, customer, customer care, customer service, customer support, negotiation, sales",on-site,full time,experienced,,19 days ago,nasr city, cairo, egypt
design manager,arx developments,"design, engineering, project management, microsoft office, pmp, architecture, civil engineering, autocad",on-site,full time,manager,,19 days ago,cairo,cairo, egypt
iot networks & protocols engineer,mobi egypt,"cisco, iot, linux, tcp, networking, aws, azure, tcp/ip",on-site,full time,experienced,,20 days ago,cairo,cairo, egypt
public relation representative,reservya,"marketing, public relations (pr), social media, content creation, communication skills, media relations, event planning",remote,internship,entry level,,20 days ago,cairo,cairo, egypt
financial accountant | saudi arabia,confidential,"accounting, analysis, erp, finance, financial analysis, microsoft excel",on-site,full time,experienced,,20 days ago,cairo,cairo, egypt
sales representative,reservya,"sales, sales target, customer service, communication skills, negotiation, lead generation, crm software, time management, problem-solving",remote,internship,student,,20 days ago,cairo,cairo, egypt
online english instructor - depi,oto courses,"english education, english teaching, communication, tefl, celta, english, instructor, writing",remote,freelance / project,experienced,,20 days ago,maadi, cairo, egypt
accounts receivable supervisor,alarabia group,"accounting, accounts receivable, finance, financial management, business administration, erp, financial analysis, microsoft excel",hybrid,full time,manager,,20 days ago,10th of ramadan city, sharqia, egypt
certification and benchmarking engineer,confidential,"research analysis, r&d, engineering, information technology (it), software development, computer science",on-site,full time,experienced,,20 days ago,10th of ramadan city, cairo, egypt
project/product manager,bright creations,"jira, project, project coordination, product management, project management, administration, business, business administration, computer science",on-site,full time,manager,,20 days ago,smart village, giza, egypt
project manager,millensys,"project management | leadership | stakeholder management | risk management | communication | customer relationship management | healthcare systems | hl7 | fhir, healthcare solutions",on-site,full time,manager,,20 days ago,new cairo, cairo, egypt
devops engineer,bright creations,"software development, react, computer science, information technology (it), devops, jenkins",hybrid,full time,experienced,,20 days ago,smart village, giza, egypt
it technical support,premium card,"computer science, information technology (it), technical support, customer support",on-site,full time,entry level,,20 days ago,dokki, giza, egypt
senior architecture site engineer,new plan,"architectural design, autocad architecture, architectural engineering, real estate, architecture, architecture design, revit architecture",on-site,full time,experienced,,20 days ago,new capital, cairo, egypt
summer internship program 2026,international co for electrical & electronic industries electro george,"engineering, electrical engineering, mechanical engineering, automation engineering",on-site,internship,student,,20 days ago,abu rawash, giza, egypt
export sales manager,nature's rule egypt llc,"customer service, export sales, sales, sales target, export, international business development, negotiation",on-site,full time,manager,,20 days ago,new cairo, cairo, egypt
german sales team leader (call center industry),riseup (endemag for administrative skills development),"sales, customer service",on-site,full time,experienced,,20 days ago,maadi, cairo, egypt
hr administrator & receptionist,daoud construction,"administration, microsoft office, office management, human resources (hr)",on-site,full time,entry level,,20 days ago,downtown, cairo, egypt
technical office engineer (construction),az developments,"sap, etap, modeling, safety, civil engineering, communication, computer science, autocad, construction",on-site,full time,experienced,,20 days ago,sheikh zayed, giza, egypt
digital marketing specialist,ttc technologies,"digital, digital marketing, business administration, e-marketing, english, google adwords, market research, marketing",on-site,full time,experienced,,20 days ago,heliopolis, cairo, egypt
stock keeper,mayorca ceramica,"stock, warehousing, supply chain, logistics, inventory control, computer skills, management, microsoft excel",on-site,full time,experienced,,20 days ago,beni suef,beni suef, egypt
junior mechanical business development engineer,zad mep,"business development, mechanical, mep engineering, technical sales, market research, sales engineering, mep basics, communication, computer science",on-site,full time,entry level,,20 days ago,cairo,cairo, egypt
